短剧,#genre# 
重生后被死对头掐腰宠,https://vd4.bdstatic.com/mda-pidtbshvj541hcww/sc/cae_h264/1694795969503049377/mda-pidtbshvj541hcww.mp4 
罪妻难逃：夜少求放过,https://vd3.bdstatic.com/mda-pidatyprbq4r7sgs/sc/cae_h264/1694741083134075277/mda-pidatyprbq4r7sgs.mp4 
亿万总裁爱上我,https://vd4.bdstatic.com/mda-pidarj60e9258tkd/sc/cae_h264/1694742743328696121/mda-pidarj60e9258tkd.mp4 
庄少得罪妻难逃,https://vd4.bdstatic.com/mda-pidasrh5mj9ikfaf/sc/cae_h264/1694741687600700555/mda-pidasrh5mj9ikfaf.mp4 
公主大人请赎罪,https://vd4.bdstatic.com/mda-pidaps9q6cr1f6yj/sc/cae_h264/1694741205249538787/mda-pidaps9q6cr1f6yj.mp4 
逆袭1990 , https://vd3.bdstatic.com/mda-pic27fqea6gxshu3/sc/cae_h264/1694576577838370273/mda-pic27fqea6gxshu3.mp4 
总裁老公身边的真假千金, https://vd4.bdstatic.com/mda-piaru4rz4ea5d3jr/sc/cae_h264/1694527130409630365/mda-piaru4rz4ea5d3jr.mp4 
豪门战尊,https://vd4.bdstatic.com/mda-pi947rkiaa76hy2m/sc/cae_h264/1694346919481540355/mda-pi947rkiaa76hy2m.mp4 
短剧系列（三）,#genre# 
布衣神算,https://vd3.bdstatic.com/mda-pi941bbxng9npbt1/sc/cae_h264/1694356000584455030/mda-pi941bbxng9npbt1.mp4 
易容总裁前妻后悔了,https://vd3.bdstatic.com/mda-pi8hhip3c0gwjs8v/sc/cae_h264/1694291223790904476/mda-pi8hhip3c0gwjs8v.mp4 
顶级豪门太子爷,https://vd3.bdstatic.com/mda-pi8hhbg56uhtbkxt/sc/cae_h264/1694293569901543683/mda-pi8hhbg56uhtbkxt.mp4 
我的老婆是特工,https://vd3.bdstatic.com/mda-pi8hginfpu0srhru/720p/h264/1694269051746088241/mda-pi8hginfpu0srhru.mp4 
顾少你的老婆找到了,https://vd3.bdstatic.com/mda-pi72zwkq28kxci62/sc/cae_h264/1694217756500480165/mda-pi72zwkq28kxci62.mp4 
魔幻手机之重回2003,https://vd3.bdstatic.com/mda-pi72kjkh3bibqvfc/sc/cae_h264/1694215643936724842/mda-pi72kjkh3bibqvfc.mp4 
离婚后冷爷他知错了,https://vd3.bdstatic.com/mda-pi6scbgcwrd7r2zr/sc/cae_h264/1694210199261123829/mda-pi6scbgcwrd7r2zr.mp4 
迟来的心动,https://vd3.bdstatic.com/mda-pi5r0s19mnefdk88/sc/cae_h264/1694074495316287456/mda-pi5r0s19mnefdk88.mp4  
短剧系列（四）,#genre# 
巾帼神豪(95集),https://txmov2.a.kwimgs.com/bs3/video-hls/5228679273869081590_hlsb.m3u8 
绝世医仙(93集),https://txmov2.a.kwimgs.com/bs3/video-hls/5251760220360466164_hlsb.m3u8 
上门豪婿(94集),https://txmov2.a.kwimgs.com/bs3/video-hls/5226145996125317106_hlsb.m3u8 
美女校花的风水大师(40集),https://txmov2.a.kwimgs.com/bs3/video-hls/5258797093473252232_hlsb.m3u8 
十八岁的通灵女(80集),https://vd4.bdstatic.com/mda-pdku4kxcmm81g7h9/sc/cae_h264/1682112514968138630/mda-pdku4kxcmm81g7h9.mp4 
富豪老公同学会(114集),https://txmov2.a.kwimgs.com/bs3/video-hls/5222205348866063631_hlsb.m3u8 
狂飙风暴(88集),https://vd4.bdstatic.com/mda-pe9mfch4kg5gyf3s/sc/cae_h264/1683788994589438440/mda-pe9mfch4kg5gyf3s.mp4 
都市最强继承者(100集),https://txmov2.a.kwimgs.com/bs3/video-hls/5232619920811866768_hlsb.m3u8 
短剧系列（五）,#genre# 
赘婿归来(101集),https://vd3.bdstatic.com/mda-pevb0xbdxkqavidi/720p/h264/1685433516028971486/mda-pevb0xbdxkqavidi.mp4 
我有神仙微信群(81集),https://txmov2.a.kwimgs.com/bs3/video-hls/5189272774546429629_hlsb.m3u8 
重生到卖女儿那天,https://vd4.bdstatic.com/mda-pd58y1bca4eqwdy1/sc/cae_h264/1680765030478096611/mda-pd58y1bca4eqwdy1.mp4 
女老板的反击(100集),https://vd2.bdstatic.com/mda-pd63rfuh803uepji/720p/h264/1680837193888969534/mda-pd63rfuh803uepji.mp4 
巨富同学会(100集),https://txmov2.a.kwimgs.com/bs3/video-hls/5238249422970059143_hlsb.m3u8 
圣医女皇(100集),https://txmov2.a.kwimgs.com/bs3/video-hls/5205598323687222877_hlsb.m3u8 
超级赘婿(80集),https://vd3.bdstatic.com/mda-pe7n75qra322fzg1/sc/cae_h264/1683612584707668218/mda-pe7n75qra322fzg1.mp4 
天骄医婿(102集),https://vd4.bdstatic.com/mda-pe7qsxras8c7mpx0/sc/cae_h264/1683613152590699530/mda-pe7qsxras8c7mpx0.mp4  
短剧系列（六）,#genre#   
无上总裁(80集),https://vd2.bdstatic.com/mda-pe7rikuj1jveu6m1/sc/cae_h264/1683615228963572913/mda-pe7rikuj1jveu6m1.mp4 
霸爱为奴(100集),https://vd4.bdstatic.com/mda-pe89k65is9xdwqen/sc/cae_h264/1683667911711262079/mda-pe89k65is9xdwqen.mp4 
霸总的替嫁娇妻(60集),https://vd4.bdstatic.com/mda-pe8ar4g2yhw6qgfj/sc/cae_h264/1683668393614566668/mda-pe8ar4g2yhw6qgfj.mp4 
宠妻入怀(100集),https://vd4.bdstatic.com/mda-pe8dzumbi13eve70/sc/cae_h264/1683681373360436407/mda-pe8dzumbi13eve70.mp4 
再见陆先生(88集),https://vd4.bdstatic.com/mda-pe9cq6zbt1adgb0m/sc/cae_h264/1683773573447572218/mda-pe9cq6zbt1adgb0m.mp4 
都市逍遥神医(93集),https://vd4.bdstatic.com/mda-pe9f7u2qj8qi7r04/720p/h264/1683716481871424650/mda-pe9f7u2qj8qi7r04.mp4 
逆命神医(96集),https://vd3.bdstatic.com/mda-peds8afg0055s0nh/720p/h264/1684091269327297304/mda-peds8afg0055s0nh.mp4 
满月之下请相爱(100集),https://vd3.bdstatic.com/mda-pedkenasrhs239n2/sc/cae_h264/1684169079399702313/mda-pedkenasrhs239n2.mp4  
短剧系列（七）,#genre# 
落在生命里的光(100集),https://vd3.bdstatic.com/mda-pedgk34za4i2wsk4/720p/h264/1684066802676530455/mda-pedgk34za4i2wsk4.mp4 
老街中的痞子(79集),https://vd3.bdstatic.com/mda-pedd0pjr3d230d6a/sc/cae_h264/1684151422563021066/mda-pedd0pjr3d230d6a.mp4 
绝世龙帅(100集),https://vd3.bdstatic.com/mda-pectb75a7wb5zsgu/720p/h264/1684008093774139159/mda-pectb75a7wb5zsgu.mp4 
浪子情仇(81集),https://vd3.bdstatic.com/mda-pecpz9ti97u1z825/720p/h264/1683998885326452646/mda-pecpz9ti97u1z825.mp4 
昆仑强者(80集),https://vd3.bdstatic.com/mda-peck0hfux97mrc79/720p/h264/1683988862148442153/mda-peck0hfux97mrc79.mp4 
重生后被死对头掐腰宠,https://vd4.bdstatic.com/mda-pidtbshvj541hcww/sc/cae_h264/1694795969503049377/mda-pidtbshvj541hcww.mp4 
罪妻难逃：夜少求放过,https://vd3.bdstatic.com/mda-pidatyprbq4r7sgs/sc/cae_h264/1694741083134075277/mda-pidatyprbq4r7sgs.mp4 
亿万总裁爱上我,https://vd4.bdstatic.com/mda-pidarj60e9258tkd/sc/cae_h264/1694742743328696121/mda-pidarj60e9258tkd.mp4  
短剧系列（八）,#genre# 
桃运无双(105集),https://vd3.bdstatic.com/mda-pefd0weush6t8bnx/sc/cae_h264/1684372449915872808/mda-pefd0weush6t8bnx.mp4 
双面狂少(83集),https://vd3.bdstatic.com/mda-pefcbtfwri86zgq2/sc/cae_h264/1684371888342144388/mda-pefcbtfwri86zgq2.mp4 
圣王(100集),https://vd3.bdstatic.com/mda-peeuh83guh46806g/sc/cae_h264/1684290562908896240/mda-peeuh83guh46806g.mp4 
偏执总裁的追妻路(93集),https://vd3.bdstatic.com/mda-peesbtb1ji4i07gy/sc/cae_h264/1684280053431635965/mda-peesbtb1ji4i07gy.mp4 
美女总裁回乡过年(97集),https://vd3.bdstatic.com/mda-pedtu8rsvhbj5pdx/sc/cae_h264/1684177990536629531/mda-pedtu8rsvhbj5pdx.mp4 
天龙战神(94集),https://vd3.bdstatic.com/mda-pefi3w616b8ujr88/720p/h264/1684243271973602840/mda-pefi3w616b8ujr88.mp4 
历少强势锁婚(100集),https://vd3.bdstatic.com/mda-pegcxruwk0cxswv8/720p/h264/1684317268225808680/mda-pegcxruwk0cxswv8.mp4  
短剧系列（九）,#genre#  
王者神婿(100集),https://vd3.bdstatic.com/mda-pfhdfw5zuea73xy3/sc/cae_h264/1687111022653832046/mda-pfhdfw5zuea73xy3.mp4 
仙武帝尊(78集),https://vd3.bdstatic.com/mda-pejcehn295ndg53i/720p/h264/1684573445328231835/mda-pejcehn295ndg53i.mp4 
无尽轮回游戏(90集),https://vd3.bdstatic.com/mda-pejauu70iv7rhhim/sc/cae_h264/1684756063120101443/mda-pejauu70iv7rhhim.mp4 
五万存款当首富(98集),https://vd3.bdstatic.com/mda-peitxirv8yxvmu8y/sc/cae_h264/1684702979466568288/mda-peitxirv8yxvmu8y.mp4 
我在会所当赘婿(96集),https://vd3.bdstatic.com/mda-peir5pkh2d6rir68/sc/cae_h264/1684702706339253199/mda-peir5pkh2d6rir68.mp4 
我嫁给了未婚夫的叔叔(100集),https://vd3.bdstatic.com/mda-peiejxwqupa2yfdr/sc/cae_h264/1684688663281619635/mda-peiejxwqupa2yfdr.mp4 
我的修仙老公(100集),https://vd3.bdstatic.com/mda-peibnjq3gnjyxbq9/720p/h264/1684485883379264375/mda-peibnjq3gnjyxbq9.mp4 
短剧系列（十）,#genre# 
傲世神主,https://vd3.bdstatic.com/mda-pij9scb7xdgamus3/720p/h264/1695193021011427972/mda-pij9scb7xdgamus3.mp4 
错嫁成婚,https://vd3.bdstatic.com/mda-pij9dhpdnujiiqq1/720p/h264/1695192241349506118/mda-pij9dhpdnujiiqq1.mp4 
顾少的替嫁新娘,https://vd3.bdstatic.com/mda-pij9ay5kevif71iq/720p/h264/1695191882727399407/mda-pij9ay5kevif71iq.mp4 
日落十分爱上你,https://vd3.bdstatic.com/mda-pij903wpgt9vqz6e/720p/h264/1695191105583844200/mda-pij903wpgt9vqz6e.mp4 
史上最强大亨,https://vd3.bdstatic.com/mda-pij8wz5z4wtqekrp/720p/h264/1695190878958327999/mda-pij8wz5z4wtqekrp.mp4 
荒岛求生,https://vd3.bdstatic.com/mda-piib0hndjikd5wqr/sc/cae_h264/1695207477178936519/mda-piib0hndjikd5wqr.mp4 
景少虐爱娇妻要逃,https://vd3.bdstatic.com/mda-piiaydafdvexpy8k/sc/cae_h264/1695205704748201723/mda-piiaydafdvexpy8k.mp4 
绝世龙神归来,https://vd3.bdstatic.com/mda-piiav63fq35zqze8/sc/cae_h264/1695207230053663889/mda-piiav63fq35zqze8.mp4 
狂龙降世,https://vd3.bdstatic.com/mda-piiaqudetzjaar6h/sc/cae_h264/1695206382799893244/mda-piiaqudetzjaar6h.mp4 
陆总离婚请签字,https://vd3.bdstatic.com/mda-piiaiav91kxkj889/sc/cae_h264/1695205647580441820/mda-piiaiav91kxkj889.mp4  
短剧系列（十一）,#genre# 
真假富少,https://vd3.bdstatic.com/mda-piiac2ydm6qyb44y/sc/cae_h264/1695202848624066573/mda-piiac2ydm6qyb44y.mp4 
重生从捡破烂开始致富,https://vd3.bdstatic.com/mda-piia3yh9pngy79ge/sc/cae_h264/1695204616090994928/mda-piia3yh9pngy79ge.mp4 
真千金横扫职场,https://vd3.bdstatic.com/mda-pih6dta3c37z7xi9/sc/cae_h264/1695062400311925587/mda-pih6dta3c37z7xi9.mp4 
植物人老公追妻三十里,https://vd3.bdstatic.com/mda-pih6b6k7niw1yhq9/sc/cae_h264/1695060772661283012/mda-pih6b6k7niw1yhq9.mp4 
新极品家丁,https://vd3.bdstatic.com/mda-pih60pkbn5kam4zb/sc/cae_h264/1695060816835829294/mda-pih60pkbn5kam4zb.mp4 
离婚后 我为前妻花光三个亿（盖世楚霸王 谁与王敌）,https://vd3.bdstatic.com/mda-pih53eurnmixgxjg/sc/cae_h264/1695057340021918071/mda-pih53eurnmixgxjg.mp4 
重生千金撩夫忙,https://vd3.bdstatic.com/mda-pibi46m8d0ed4twb/720p/h264/1694523121524137582/mda-pibi46m8d0ed4twb.mp4 
神级许愿、极品许愿,https://vd3.bdstatic.com/mda-pibhxpmvx644jy0n/720p/h264/1694522587881385835/mda-pibhxpmvx644jy0n.mp4  
短剧系列（十二）,#genre# 
罪爱,https://vd3.bdstatic.com/mda-pibhunk6ig76w3n3/720p/h264/1694522367787448759/mda-pibhunk6ig76w3n3.mp4 
月薪两千成首富,https://vd3.bdstatic.com/mda-pibhri3j5b7e0i99/720p/h264/1694522036937279913/mda-pibhri3j5b7e0i99.mp4 
捡个老公是千亿总裁,https://vd3.bdstatic.com/mda-pi9ce24gkdm2a94g/sc/cae_h264/1694372488979765100/mda-pi9ce24gkdm2a94g.mp4 
弃妃惊华:侯爷追妻忙,https://vd3.bdstatic.com/mda-pi9cbw27y8q6g7e7/sc/cae_h264/1694372115125688895/mda-pi9cbw27y8q6g7e7.mp4 
卿归芳意晚,https://vd3.bdstatic.com/mda-pi9c8fx5x8mfmxfn/sc/cae_h264/1694372120567464516/mda-pi9c8fx5x8mfmxfn.mp4 
战神龙尊,https://vd3.bdstatic.com/mda-pi9btd71ihe0kgbh/sc/cae_h264/1694371841237162088/mda-pi9btd71ihe0kgbh.mp4 
顶级豪门太子爷,https://vd3.bdstatic.com/mda-pi9bq2hw5nxstd4b/sc/cae_h264/1694370860878520084/mda-pi9bq2hw5nxstd4b.mp4 
陆少的重生娇妻,https://vd3.bdstatic.com/mda-pi9bi9b826cmk4ks/sc/cae_h264/1694368957378601858/mda-pi9bi9b826cmk4ks.mp4 
短剧系列（十三）,#genre# 
绝美总裁老婆,https://vd3.bdstatic.com/mda-pg6fry57a93dcga6/sc/cae_h264/1688767549538624866/mda-pg6fry57a93dcga6.mp4 
前妻难追 傅先生请自重,https://vd3.bdstatic.com/mda-pg3qfz2q926rebhm/720p/h264/1688492280310225587/mda-pg3qfz2q926rebhm.mp4 
偏执囚笼,https://vd3.bdstatic.com/mda-pg3q0ebvhwtcspax/sc/cae_h264/1688504969004465714/mda-pg3q0ebvhwtcspax.mp4 
偏执凌少宠妻如命,https://vd3.bdstatic.com/mda-pg3pbbimj7tp9syb/720p/h264/1688489842250588601/mda-pg3pbbimj7tp9syb.mp4 
孽缘蜜爱谢少求放过,https://vd3.bdstatic.com/mda-pg3k3be3v5je98n5/sc/cae_h264/1688500734218636888/mda-pg3k3be3v5je98n5.mp4 
你是天堂也是地狱,https://vd3.bdstatic.com/mda-pg3fprtzkcwbcssj/sc/cae_h264/1688497238770092637/mda-pg3fprtzkcwbcssj.mp4 
最强弃少归来,https://vd3.bdstatic.com/mda-pg3et7mz5rcbtzzq/sc/cae_h264/1688493943569547801/mda-pg3et7mz5rcbtzzq.mp4 
无上魔尊,https://vd3.bdstatic.com/mda-pg2rrg48wxz8ykhz/sc/cae_h264/1688445892454200588/mda-pg2rrg48wxz8ykhz.mp4  
美女总裁的贴身龙帅,https://vd3.bdstatic.com/mda-pi7mg6zhxgfm5r1j/720p/h264/1694185989345224841/mda-pi7mg6zhxgfm5r1j.mp4 
神龙尊主(天骄)(神龙令之逍遥归来),https://vd3.bdstatic.com/mda-pi7m9z2t3pwaur6f/720p/h264/1694185451308310200/mda-pi7m9z2t3pwaur6f.mp4 
重生之山河社稷图,https://vd3.bdstatic.com/mda-pi7m6ybc9dr3gxvw/720p/h264/1694185219431038580/mda-pi7m6ybc9dr3gxvw.mp4 
萌宝来袭 总裁夫人别想逃,https://vd3.bdstatic.com/mda-pi7m3x5yrf9cc0im/720p/h264/1694185084132712787/mda-pi7m3x5yrf9cc0im.mp4 
废后归来,https://vd3.bdstatic.com/mda-pi7f2s33p9us5r24/720p/h264/1694184863120825294/mda-pi7f2s33p9us5r24.mp4 
顶流明星的贴身保镖,https://vd3.bdstatic.com/mda-pi6av3cppn71t4qs/sc/cae_h264/1694132152899156024/mda-pi6av3cppn71t4qs.mp4 
毒妃驾到,https://vd3.bdstatic.com/mda-pi6as21hw799s29d/sc/cae_h264/1694131472212880641/mda-pi6as21hw799s29d.mp4 
绝世神监,https://vd3.bdstatic.com/mda-pi6ajsxzd2hv6jd2/sc/cae_h264/1694130333529815413/mda-pi6ajsxzd2hv6jd2.mp4  
扭转乾坤从抢婚开始,https://vd3.bdstatic.com/mda-pi6ah12bui9iz5wx/sc/cae_h264/1694129708980333011/mda-pi6ah12bui9iz5wx.mp4 
萌宝来袭 父王追妻甜蜜蜜,https://vd3.bdstatic.com/mda-pi6aez6rmkx33hdz/sc/cae_h264/1694129716483622110/mda-pi6aez6rmkx33hdz.mp4 
战神奶爸纵横都市 狂龙奶爸,https://vd3.bdstatic.com/mda-pi6a30su3nuii94q/sc/cae_h264/1694128653004340147/mda-pi6a30su3nuii94q.mp4 
神探宋元,https://vd3.bdstatic.com/mda-pi4agsx99kqk7q1w/sc/cae_h264/1694126587431121778/mda-pi4agsx99kqk7q1w.mp4 
千亿为聘 沈少你别跑,https://vd3.bdstatic.com/mda-pi4aapibmi3xa2g4/sc/cae_h264/1693957252673475008/mda-pi4aapibmi3xa2g4.mp4 
江域守护神,https://vd3.bdstatic.com/mda-pi4a6yhdx76zni1a/720p/h264/1693898200840659266/mda-pi4a6yhdx76zni1a.mp4 
嫡女多娇 邪皇竟折腰,https://vd3.bdstatic.com/mda-pi4a0uw343z9kkzq/720p/h264/1693897736114523009/mda-pi4a0uw343z9kkzq.mp4 
史上最强刁民,https://vd3.bdstatic.com/mda-pi49m1bxwawse0kf/sc/cae_h264/1693957311796099819/mda-pi49m1bxwawse0kf.mp4 
96集短剧《龙王令之一世至尊》 第1-20集,https://leshiyuncdn.36s.top/20240131/n4GYW9kp/4915kb/hls/index.m3u8🐯 第21-40集,https://leshiyuncdn.36s.top/20240131/NqK4ceOy/4998kb/hls/index.m3u8🐯 第41-60集,https://leshiyuncdn.36s.top/20240131/oKl2XBMl/5010kb/hls/index.m3u8🐯 第61-80集,https://leshiyuncdn.36s.top/20240131/TyB2FW01/5078kb/hls/index.m3u8🐯 第81-96集,https://leshiyuncdn.36s.top/20240131/2VlicwsL/index.m3u8🐯 
《龙年大吉之衣锦还乡》 ,https://ikcdn01.ikzybf.com/20240219/DSEJuK59/index.m3u8🐯  
短剧系列（十四）,#genre# 
功夫医圣(80集),https://vd2.bdstatic.com/mda-pe9qn6dabh5ppc6w/720p/h264/1683740514742579726/mda-pe9qn6dabh5ppc6w.mp4 
古董风云(50集),https://vd2.bdstatic.com/mda-pe9r3itz1thdrm9i/sc/cae_h264/1683796097451505310/mda-pe9r3itz1thdrm9i.mp4 
